Comment,Time,Polarity,Sentiment,Subjectivity,Offensive?,Emotion
"If someone strikes a pregnant woman such that she miscarries, shouldn't the perpetrator be charged with manslaughter? If it was intentional, is it not murder? So, how is it suddenly 'not' murder when the perpetrator is the mother?","2022-04-27
09:51:05",0.6303,positive,0.5,Yes,approval
"If this was 'self-induced' how did the 'law' find out about it?.  was it actually a miscarriage,and again, who involved the law?","2022-04-25
01:47:36",0.0,neutral,0.1,No,excitement
"It’s amazing that the people who cried the loudest about having to wear a mask or getting a vaccine fail to recognize the cognitive dissonance of having the government telling women what they can do with their bodies? For me, it was easy to reconcile. If you didn’t want to wear a mask or get a vaccine, then you live with the informed decision when you contracted Covid and risked death for you and your families.","2022-04-24
14:48:07",-0.5994,negative,0.6333333333333333,No,admiration
Worst country ever.,"2022-04-24
11:16:56",-0.6249,negative,1.0,No,anger
"Of course, the Supreme Court will overturn Roe V. Wade.  Cony-Barrett thinks God put her on the court to get that done.","2022-04-23
21:23:09",0.6908,positive,0.0,No,neutral
She did nothing wrong,"2022-04-22
15:30:55",0.3724,positive,0.9,No,approval
"Pregnancy unless planned will not be an open topic. Women, young women, teenagers who do not expect to get pregnant but through some kind of interference in their lives become pregnant will keep the information quiet. Back to underground abortions. Crimes will go unreported and the guilty will be free to harm more women. This is a huge problem.","2022-04-22
10:14:54",-0.6808,negative,0.5757575757575757,Yes,remorse
I grew up in a red state and used to be anti-abortion or pro-life before I realized that the left has FAR better arguments on the abortion issue. Republicans are so extreme they won't even make exceptions for if a woman's life is endangered by her pregnancy. They've never seemed to have a problem with letting people die once they're born.,"2022-04-21
04:27:34",-0.7506,negative,0.5,Yes,admiration
Texas does not run Texas. The Church runs Texas like it does many other states. The Church just flexes in Texas first to set the precedent and take it on the road across America.,"2022-04-21
01:05:43",0.3612,positive,0.40277777777777773,No,neutral
"Texas is slowly turning Blue, so moving out would be counter productive. Best to wait it out.","2022-04-20
20:18:32",0.6369,positive,0.26666666666666666,Yes,admiration
Boycott texas!,"2022-04-20
16:56:27",-0.3802,negative,0.0,No,neutral
F Abbott and Texas,"2022-04-20
16:53:00",0.0,neutral,0.0,No,neutral
